model,source_feature,target_feature,source_name,target_name,source_modality,target_modality,prior,gradient,occlusion,permutation
embedding_field_ode,"1-(beta-d-ribofuranosyl)-1,4-dihydronicotinamide ",10090.ENSMUSP00000031663,"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide ",C8b,metabolomics,proteomics,0.0,0.005748024906044883,0.005843595181786969,0.005932261550762692
embedding_field_ode,"1-(beta-d-ribofuranosyl)-1,4-dihydronicotinamide ",10090.ENSMUSP00000031731,"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide ",Pcolce,metabolomics,proteomics,0.0,0.0030252517834223128,0.003112035309015742,0.003158498092699581
embedding_field_ode,"1-(beta-d-ribofuranosyl)-1,4-dihydronicotinamide ",10090.ENSMUSP00000031773,"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide ",Pon3,metabolomics,proteomics,0.0,0.0042409840313477,0.0043880011258339395,0.00442449714146694
embedding_field_ode,"1-(beta-d-ribofuranosyl)-1,4-dihydronicotinamide ",10090.ENSMUSP00000032065,"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide ",Pcyox1,metabolomics,proteomics,0.0,0.00507217096104959,0.005170977472268412,0.00524177832104465
embedding_field_ode,"1-(beta-d-ribofuranosyl)-1,4-dihydronicotinamide ",10090.ENSMUSP00000032203,"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide ",A2m,metabolomics,proteomics,0.0,0.005272349666212889,0.005458285098833344,0.005443574455972545
embedding_field_ode,"1-(beta-d-ribofuranosyl)-1,4-dihydronicotinamide ",10090.ENSMUSP00000032342,"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide ",Mgp,metabolomics,proteomics,0.0,0.001279036692522724,0.0012895257241479444,0.0013029209974924818
embedding_field_ode,"1-(beta-d-ribofuranosyl)-1,4-dihydronicotinamide ",10090.ENSMUSP00000032373,"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide ",Ldhb,metabolomics,proteomics,0.0,0.0029861085189485208,0.003044338613777447,0.003092704423807513
embedding_field_ode,"1-(beta-d-ribofuranosyl)-1,4-dihydronicotinamide ",10090.ENSMUSP00000032874,"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide ",Sh3gl3,metabolomics,proteomics,0.0,7.732327557950667e-05,7.856347752274673e-05,7.9617062515739e-05
embedding_field_ode,"1-(beta-d-ribofuranosyl)-1,4-dihydronicotinamide ",10090.ENSMUSP00000033050,"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide ",Lyve1,metabolomics,proteomics,0.0,0.0038552241697004707,0.003922317342842725,0.003969280348101443
embedding_field_ode,"1-(beta-d-ribofuranosyl)-1,4-dihydronicotinamide ",10090.ENSMUSP00000033182,"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide ",Ilk,metabolomics,proteomics,0.0,0.004938373284487435,0.00506946993003999,0.005222408563132963
