source_node,target_node,relationship,database,evidence,confidence,reference,via
A0A140T8M0,immunoglobulin,protein_to_pathway,name_rules,gene IGKV1-117,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A140T8M1,immunoglobulin,protein_to_pathway,name_rules,gene IGKV10-96,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A140T8M2,immunoglobulin,protein_to_pathway,name_rules,gene IGKV12-44,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A140T8M3,immunoglobulin,protein_to_pathway,name_rules,gene IGKV8-30,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A140T8M4,immunoglobulin,protein_to_pathway,name_rules,gene IGKV8-19,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A140T8M5,immunoglobulin,protein_to_pathway,name_rules,gene IGKV6-15,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A140T8M6,immunoglobulin,protein_to_pathway,name_rules,gene IGKV3-5,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A140T8N3,immunoglobulin,protein_to_pathway,name_rules,gene IGKV13-84,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A140T8N5,immunoglobulin,protein_to_pathway,name_rules,gene IGKV6-23,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A140T8N8,immunoglobulin,protein_to_pathway,name_rules,gene IGKV9-123,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A140T8N9,immunoglobulin,protein_to_pathway,name_rules,gene IGKV6-32,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A140T8P0,immunoglobulin,protein_to_pathway,name_rules,gene IGKV3-12,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A140T8P3,immunoglobulin,protein_to_pathway,name_rules,gene IGKV15-103,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A140T8P5,immunoglobulin,protein_to_pathway,name_rules,gene IGKV8-24,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A140T8P6,immunoglobulin,protein_to_pathway,name_rules,gene IGKV12-46,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A140T8P9,immunoglobulin,protein_to_pathway,name_rules,gene IGKV14-111,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A140T8Q0;A0A140T8Q4,immunoglobulin,protein_to_pathway,name_rules,gene IGKV3-3,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A140T8Q3,immunoglobulin,protein_to_pathway,name_rules,gene IGKV6-17,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A140T8Q4,immunoglobulin,protein_to_pathway,name_rules,gene IGKV3-4,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A2K6EDJ7;E9PVD2,acute_phase,protein_to_pathway,name_rules,gene ITIH4,medium,Name-rule prior from gene symbols and metabolite names only,acute_phase
A0A668KLU9;Q4LDF6,complement,protein_to_pathway,name_rules,gene CFHR2,medium,Name-rule prior from gene symbols and metabolite names only,complement
A6X935,acute_phase,protein_to_pathway,name_rules,gene ITIH4,medium,Name-rule prior from gene symbols and metabolite names only,acute_phase
D3YXF5,complement,protein_to_pathway,name_rules,gene C7,medium,Name-rule prior from gene symbols and metabolite names only,complement
E9PUM5;E9Q8B5,complement,protein_to_pathway,name_rules,gene CFHR4,medium,Name-rule prior from gene symbols and metabolite names only,complement
E9PUM5;E9Q8B5;E9Q8B6,complement,protein_to_pathway,name_rules,gene CFHR4,medium,Name-rule prior from gene symbols and metabolite names only,complement
E9PV24,coagulation,protein_to_pathway,name_rules,gene FGA,medium,Name-rule prior from gene symbols and metabolite names only,coagulation
E9Q414,lipid_lipoprotein,protein_to_pathway,name_rules,gene APOB,medium,Name-rule prior from gene symbols and metabolite names only,lipid_lipoprotein
E9Q6D8;Q91X70,complement,protein_to_pathway,name_rules,gene C6,medium,Name-rule prior from gene symbols and metabolite names only,complement
E9Q8B5,complement,protein_to_pathway,name_rules,gene CFHR4,medium,Name-rule prior from gene symbols and metabolite names only,complement
F6W6U3,immunoglobulin,protein_to_pathway,name_rules,gene IGHE,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
G3X8Q5;G3X9T8,redox_detox,protein_to_pathway,name_rules,gene CP,medium,Name-rule prior from gene symbols and metabolite names only,redox_detox
O08677,coagulation,protein_to_pathway,name_rules,gene KNG1,medium,Name-rule prior from gene symbols and metabolite names only,coagulation
O08742,coagulation,protein_to_pathway,name_rules,gene GP5,medium,Name-rule prior from gene symbols and metabolite names only,coagulation
O35930,coagulation,protein_to_pathway,name_rules,gene GP1BA,medium,Name-rule prior from gene symbols and metabolite names only,coagulation
O70362,lipid_lipoprotein,protein_to_pathway,name_rules,gene GPLD1,medium,Name-rule prior from gene symbols and metabolite names only,lipid_lipoprotein
O70570,immunoglobulin,protein_to_pathway,name_rules,gene PIGR,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
O88783,coagulation,protein_to_pathway,name_rules,gene F5,medium,Name-rule prior from gene symbols and metabolite names only,coagulation
O88947,coagulation,protein_to_pathway,name_rules,gene F10,medium,Name-rule prior from gene symbols and metabolite names only,coagulation
O89020,carrier,protein_to_pathway,name_rules,gene AFM,medium,Name-rule prior from gene symbols and metabolite names only,carrier
P01027,complement,protein_to_pathway,name_rules,gene C3,medium,Name-rule prior from gene symbols and metabolite names only,complement
P01029,complement,protein_to_pathway,name_rules,gene C4B,medium,Name-rule prior from gene symbols and metabolite names only,complement
P01592,immunoglobulin,protein_to_pathway,name_rules,gene JCHAIN,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
P01627,immunoglobulin,protein_to_pathway,name_rules,gene IGKV2-112,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
P01632,immunoglobulin,protein_to_pathway,name_rules,gene IGKV7-33,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
P01633,immunoglobulin,protein_to_pathway,name_rules,gene IGKV6-17,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
